timestamp,device,read_s,write_s,utilization
2025-11-05T11:11:17Z,sda,0.01,27.20,0.00
2025-11-05T11:11:17Z,sdb,0.00,41.32,0.00
2025-11-05T11:11:17Z,sdc,0.00,0.00,0.00
2025-11-05T11:11:17Z,sdd,0.51,28.74,0.01
2025-11-05T11:11:22Z,sda,0.01,27.20,0.00
2025-11-05T11:11:22Z,sdb,0.00,41.32,0.00
2025-11-05T11:11:22Z,sdc,0.00,0.00,0.00
2025-11-05T11:11:22Z,sdd,0.51,28.76,0.01
2025-11-05T11:11:27Z,sda,0.01,27.20,0.00
2025-11-05T11:11:27Z,sdb,0.00,41.32,0.00
2025-11-05T11:11:27Z,sdc,0.00,0.00,0.00
2025-11-05T11:11:27Z,sdd,0.51,28.76,0.01
